"main_country","avg_ltv","avg_total_orders","total_sessions","view_item","add_to_cart","begin_checkout","purchases","conversion_rate_pct","total_revenue","avg_order_value"
"North Macedonia","0.92","0.02","50","11","0","3","1","2.00","46.00","46.00"
"Cambodia","2.25","0.05","40","20","0","1","1","2.50","45.00","45.00"
"Algeria","2.29","0.11","54","15","2","3","1","1.85","42.00","42.00"
"Latvia","1.20","0.06","50","13","2","5","1","2.00","20.00","20.00"
"Puerto Rico","0.47","0.03","74","11","1","4","1","1.35","18.00","18.00"
"Uruguay","0.94","0.06","51","13","2","4","1","1.96","16.00","16.00"
"Albania","0.00","0.00","27","7","2","3","0","0.00","0.00",NULL
"Bosnia & Herzegovina","0.00","0.00","22","3","0","0","0","0.00","0.00",NULL
"Bolivia","0.00","0.00","28","8","2","1","0","0.00","0.00",NULL
"Trinidad & Tobago","0.00","0.00","32","8","0","1","0","0.00","0.00",NULL
"Belarus","0.00","0.00","34","8","0","2","0","0.00","0.00",NULL
"Azerbaijan","0.00","0.00","48","12","1","2","0","0.00","0.00",NULL
"Armenia","0.00","0.00","21","6","0","1","0","0.00","0.00",NULL
"Venezuela","0.00","0.00","42","11","1","1","0","0.00","0.00",NULL
"Bahamas","0.00","0.00","13","4","0","0","0","0.00","0.00",NULL
"Kosovo","0.00","0.00","10","1","0","0","0","0.00","0.00",NULL
"Lithuania","0.00","0.00","130","25","0","1","0","0.00","0.00",NULL
"Luxembourg","0.00","0.00","19","2","0","0","0","0.00","0.00",NULL
"Jordan","0.00","0.00","71","13","1","0","0","0.00","0.00",NULL
"Jamaica","0.00","0.00","24","5","0","1","0","0.00","0.00",NULL
"Myanmar (Burma)","0.00","0.00","42","12","0","1","0","0.00","0.00",NULL
"Nepal","0.00","0.00","41","9","0","3","0","0.00","0.00",NULL
"Iraq","0.00","0.00","55","11","1","0","0","0.00","0.00",NULL
"Iceland","0.00","0.00","19","8","1","2","0","0.00","0.00",NULL
"Norway","0.00","0.00","173","40","3","11","0","0.00","0.00",NULL
"Oman","0.00","0.00","29","3","0","0","0","0.00","0.00",NULL
"Panama","0.00","0.00","31","11","0","0","0","0.00","0.00",NULL
"Paraguay","0.00","0.00","23","2","0","0","0","0.00","0.00",NULL
"Honduras","0.00","0.00","17","6","0","0","0","0.00","0.00",NULL
"Ghana","0.00","0.00","20","8","0","0","0","0.00","0.00",NULL
"Qatar","0.00","0.00","52","12","1","5","0","0.00","0.00",NULL
"Estonia","0.00","0.00","35","8","0","1","0","0.00","0.00",NULL
"El Salvador","0.00","0.00","50","11","1","1","0","0.00","0.00",NULL
"Serbia","0.00","0.00","66","19","2","3","0","0.00","0.00",NULL
"Cyprus","0.00","0.00","28","4","0","0","0","0.00","0.00",NULL
"Croatia","0.00","0.00","103","26","1","4","0","0.00","0.00",NULL
"South Africa","0.00","0.00","172","40","5","5","0","0.00","0.00",NULL
