"customer_id","main_country","lifetime_value","total_orders","total_sessions","total_purchases","total_revenue","conversion_rate_pct"
"5820525.4112921353","Pakistan","248","1","2","1","248.00","50.00"
"5370675.2157971187","Canada","247","1","3","1","247.00","33.33"
"41904644.7032979505","Kuwait","246","2","4","1","246.00","25.00"
"7305312.0773204883","United States","246","4","2","2","246.00","100.00"
"78710713.2392067740","United States","246","2","2","1","246.00","50.00"
"6006118.2429897577","United States","245","1","1","1","245.00","100.00"
"50546952.1039923649","United States","243","1","2","1","243.00","50.00"
"3402018.0291081671","Vietnam","240","2","5","1","240.00","20.00"
"5039183135.2699720432","United States","240","2","2","1","240.00","50.00"
"74016002.6019650209","United States","240","3","1","1","240.00","100.00"
"9101213.9063728582","United States","239","1","1","1","239.00","100.00"
"27754794.4046505931","India","238","2","1","1","238.00","100.00"
"58404409.8347902611","United States","238","2","1","1","238.00","100.00"
"1534773.3101496826","Canada","236","2","4","1","236.00","25.00"
"22222567.3132315095","India","236","2","5","1","236.00","20.00"
"14319429.3848600934","India","235","1","2","1","235.00","50.00"
"6266986.5618192324","Japan","235","2","5","2","235.00","40.00"
"79305784.7623717578","United Kingdom","234","13","3","1","234.00","33.33"
"79260143.2564567739","Canada","233","1","0",NULL,NULL,NULL
"49068184.0131644651","United States","232","2","3","1","232.00","33.33"
"6556724.6722841168","South Korea","232","2","1","1","232.00","100.00"
"1624875.9469354174","Thailand","231","1","10","1","231.00","10.00"
"7534419.7933326516","United States","231","1","1","1","231.00","100.00"
"3435332.1615492469","Malaysia","230","2","2","1","230.00","50.00"
"6961058.7244207405","United States","226","1","1","1","226.00","100.00"
"7193125.5982849186","Denmark","226","1","3","1","226.00","33.33"
"14763691.5596383469","India","225","3","2","2","225.00","100.00"
"28750238.4461447574","Turkey","224","1","5","1","224.00","20.00"
"3188737051.8836428627","India","223","2","1","1","223.00","100.00"
"1395824.1622992884","United States","220","1","3","1","220.00","33.33"
"53887436.1726083498","United States","219","1","1","1","219.00","100.00"
"7771300.1338167684","United States","219","3","3","1","219.00","33.33"
"45408917.7275708611","Malaysia","218","1","1","1","218.00","100.00"
"7453835.7513761923","Thailand","218","3","5","2","218.00","40.00"
"58603767.6719650157","Canada","216","1","1","1","216.00","100.00"
"59150872.6355994877","United States","215","1","1","1","215.00","100.00"
"32328904.6840270281","Mexico","214","1","7","1","214.00","14.29"
"61577291.2144566004","United States","212","2","3","1","212.00","33.33"
"87326376.7596593080","United States","212","1","4","1","212.00","25.00"
"27701936.3565936806","Slovakia","211","1","1","1","211.00","100.00"
"1393292.7340025556","India","210","2","3","2","210.00","66.67"
"88361744.4940705869","United States","210","1","2","1","210.00","50.00"
"11174427.4523965634","United States","209","1","2","1","209.00","50.00"
"1317256.8451359656","United States","208","2","3","1","208.00","33.33"
"4707239.1008432127","Netherlands","208","4","6","1","208.00","16.67"
"5579251.3024079662","United States","208","1","3","1","208.00","33.33"
"3231609.9615457151","United States","207","1","2","1","207.00","50.00"
"64681465.6816600292","United Kingdom","207","2","6","2","207.00","33.33"
"3529297.9210463119","Bahrain","206","1","2","1","206.00","50.00"
"6044369.0763862711","Germany","206","2","5","1","206.00","20.00"
"54535436.2028528496","Israel","204","4","1","1","204.00","100.00"
"66572919.0070303795","France","204","2","1","1","204.00","100.00"
"1961021.4251862365","United States","203","1","4","1","203.00","25.00"
"53379384.0448742187","United States","200","1","4","1","200.00","25.00"
"70532365.4711674582","India","199","1","2","1","199.00","50.00"
"7147579.2005144402","United States","199","1","2","1","199.00","50.00"
"2448440.0955846512","Poland","198","1","3","1","198.00","33.33"
"3135759.6931516852","United States","198","1","2","1","198.00","50.00"
"3578162.0623899917","United States","198","2","3","1","198.00","33.33"
"6628033917.0193794826","United States","198","4","4","1","198.00","25.00"
"6652977.1027873844","Japan","197","4","2","1","197.00","50.00"
"78113847.9152616369","United States","196","2","2","1","196.00","50.00"
"2660071.6760619641","United States","194","2","2","1","194.00","50.00"
"2765238449.6586996303","India","194","2","1","1","194.00","100.00"
"5561956.8525640382","United States","194","2","3","1","194.00","33.33"
"5584543.6745627539","United States","194","2","2","1","194.00","50.00"
"66897566.4482598405","Mexico","194","2","2","1","194.00","50.00"
"76219348.8581271685","United Arab Emirates","194","1","3","1","194.00","33.33"
"35949966.2815169272","Australia","193","1","5","1","193.00","20.00"
"40419717.4317588714","Brazil","192","1","2","1","192.00","50.00"
"65671033.8875667472","United States","192","2","1","1","192.00","100.00"
"90732736.8391346787","Austria","192","1","5","0","0.00","0.00"
"8224884.5817385201","United States","191","1","7","1","191.00","14.29"
"12174342.2198928658","Turkey","189","1","9","1","189.00","11.11"
"36342934.1053894040","United States","189","3","3","1","189.00","33.33"
"84868240.4309852777","France","189","2","5","2","189.00","40.00"
"9162399.0802989525","United States","189","1","2","1","189.00","50.00"
"4958713.6586294189","United States","188","1","3","1","188.00","33.33"
"49777952.2680869968","United States","188","1","9","1","188.00","11.11"
"70013731.5220508342","United States","188","6","1","1","188.00","100.00"
"7252675.9081491443","United States","188","1","3","1","188.00","33.33"
"80123648.0068941500","India","188","1","4","1","188.00","25.00"
"8504426.1216196705","United States","188","2","2","1","188.00","50.00"
"7446712.2726872272","United States","186","3","8","2","186.00","25.00"
"1822000.8128019496","Indonesia","185","1","1","1","185.00","100.00"
"49129255.3105543415","United States","185","1","1","1","185.00","100.00"
"68044065.2390765612","India","185","1","7","1","185.00","14.29"
"13889156.1708430041","United States","184","1","4","1","184.00","25.00"
"7150186.6926554484","India","184","2","5","1","184.00","20.00"
"1014825.0200289249","United States","183","1","2","1","183.00","50.00"
"65347516.5438714743","United Kingdom","182","1","3","1","182.00","33.33"
"71216083.8823170998","China","181","1","4","1","181.00","25.00"
"1470110.5021681506","India","178","1","5","1","178.00","20.00"
"5674547.8008141064","India","178","2","4","1","178.00","25.00"
"5795144.5608491958","France","178","4","1","1","178.00","100.00"
"88890409.0907454901","Bulgaria","178","2","1","1","178.00","100.00"
"81824760.1222124625","Russia","177","1","1","1","177.00","100.00"
"13965501.3079306644","United States","176","2","4","2","176.00","50.00"
"2608462.0797346127","Peru","176","6","7","1","176.00","14.29"
"3432659.9858672821","United States","176","2","8","2","176.00","25.00"
"6072463.1803217592","United States","176","1","2","1","176.00","50.00"
"6134557.2662121134","Nigeria","176","1","5","1","176.00","20.00"
"75611414.7949596702","United States","176","2","1","1","176.00","100.00"
"1525779.2780994637","Lebanon","175","1","2","1","175.00","50.00"
