"traffic_source","traffic_medium","main_country","sessions","purchases","revenue","avg_ltv","avg_total_orders"
"Unknown","referral","Australia","108","1","336.00","8.01","0.05"
"google","organic","Singapore","403","5","336.00","2.88","0.04"
"google","organic","Pakistan","161","3","327.00","3.25","0.04"
"Unknown","Unknown","Japan","292","3","323.00","8.46","0.08"
"Unknown","referral","Pakistan","42","3","319.00","27.71","0.21"
"Direct","Unknown","Indonesia","237","2","313.00","4.41","0.06"
"Unknown","referral","Singapore","128","3","313.00","4.25","0.05"
"google","organic","Poland","260","5","311.00","2.65","0.06"
"Direct","Unknown","Japan","316","5","303.00","4.34","0.06"
"Unknown","organic","Japan","47","2","300.00","11.38","0.09"
"Direct","Unknown","Colombia","95","4","294.00","5.68","0.08"
"Unknown","Unknown","Taiwan","343","8","293.00","3.54","0.10"
"Direct","Unknown","South Korea","306","4","290.00","3.02","0.06"
"shop.googlemerchandisestore.com","referral","China","158","5","279.00","9.23","0.11"
"Direct","Unknown","Sweden","117","3","278.00","4.19","0.04"
"shop.googlemerchandisestore.com","referral","Saudi Arabia","28","3","276.00","11.79","0.14"
"Direct","Unknown","Pakistan","104","2","272.00","7.40","0.07"
"Direct","Unknown","Brazil","234","5","267.00","3.93","0.06"
"google","organic","Netherlands","376","5","264.00","4.07","0.07"
"Unknown","referral","France","206","4","262.00","4.85","0.09"
"Unknown","referral","Spain","206","4","258.00","7.50","0.11"
"google","organic",NULL,"260","5","257.00","1.93","0.05"
"google","organic","Malaysia","182","4","256.00","5.46","0.05"
"google","organic","Russia","213","2","255.00","2.22","0.03"
"Unknown","Unknown","Singapore","268","3","253.00","2.11","0.04"
"shop.googlemerchandisestore.com","referral","Denmark","40","2","250.00","6.25","0.05"
"Direct","Unknown","Italy","346","2","249.00","9.89","0.03"
"Direct","Unknown","Kuwait","11","1","246.00","67.09","0.55"
"Direct","Unknown","Thailand","112","3","246.00","11.85","0.14"
"shop.googlemerchandisestore.com","referral","Malaysia","43","2","243.00","8.81","0.09"
"Direct","Unknown","Portugal","107","2","236.00","2.93","0.04"
"Unknown","Unknown","Indonesia","216","2","236.00","2.11","0.03"
"shop.googlemerchandisestore.com","referral","Mexico","73","2","235.00","10.66","0.12"
"Direct","Unknown","United Arab Emirates","75","2","232.00","3.09","0.03"
"Unknown","Unknown","Italy","265","5","229.00","10.03","0.03"
"Direct","Unknown","Vietnam","124","1","228.00","6.44","0.09"
"Unknown","Unknown","Poland","161","4","227.00","6.24","0.14"
"shop.googlemerchandisestore.com","referral","Singapore","114","2","223.00","6.47","0.06"
"Direct","Unknown","Singapore","311","6","222.00","2.94","0.06"
"Unknown","referral","Brazil","105","2","222.00","2.11","0.02"
"Direct","Unknown","Hong Kong","179","3","220.00","3.53","0.07"
"Unknown","organic","Canada","214","4","215.00","1.00","0.02"
"Direct","Unknown","Mexico","198","1","214.00","2.15","0.02"
"shop.googlemerchandisestore.com","referral","Slovakia","12","1","211.00","17.58","0.08"
"google","cpc","Canada","315","4","211.00","1.42","0.02"
"Unknown","Unknown","Greece","80","2","211.00","9.20","0.13"
"google","organic","Hong Kong","207","2","209.00","2.36","0.08"
"google","organic","Germany","542","2","207.00","1.28","0.01"
"Unknown","Unknown","Bahrain","6","1","206.00","34.33","0.17"
"google","organic","Taiwan","508","6","205.00","2.46","0.05"
"Unknown","Unknown","Dominican Republic","5","2","204.00","52.00","0.80"
"Unknown","referral","Russia","78","2","200.00","4.03","0.08"
"Unknown","Unknown","Belgium","84","5","198.00","4.11","0.11"
"shop.googlemerchandisestore.com","referral","Netherlands","114","2","190.00","5.41","0.11"
"Unknown","organic","India","257","2","184.00","2.90","0.05"
"google","cpc","Malaysia","27","2","180.00","6.67","0.07"
"Direct","Unknown","United Kingdom","767","6","180.00","3.62","0.05"
"google","organic","Bulgaria","35","1","178.00","5.09","0.06"
"google","organic","Thailand","127","2","177.00","5.67","0.07"
"shop.googlemerchandisestore.com","referral","Australia","105","4","176.00","6.12","0.12"
"google","organic","Nigeria","55","1","176.00","15.35","0.11"
"Unknown","Unknown","Vietnam","97","4","176.00","12.49","0.20"
"google","organic","Lebanon","14","1","175.00","14.14","0.14"
"Direct","Unknown","Peru","97","2","172.00","5.07","0.12"
"shop.googlemerchandisestore.com","referral","Spain","182","2","169.00","9.49","0.16"
"google","organic","Mexico","274","2","160.00","2.94","0.05"
"google","organic","Hungary","39","2","159.00","4.08","0.05"
"Direct","Unknown","Russia","165","3","156.00","1.10","0.04"
"shop.googlemerchandisestore.com","referral","Austria","26","1","154.00","15.77","0.19"
"google","cpc","Mexico","49","1","152.00","3.10","0.04"
"Unknown","organic","Turkey","30","1","152.00","6.40","0.07"
"shop.googlemerchandisestore.com","referral","Vietnam","44","4","151.00","23.43","0.27"
"Direct","Unknown","Egypt","50","2","149.00","4.66","0.08"
"Direct","Unknown","New Zealand","43","2","147.00","3.42","0.05"
"Unknown","Unknown","Hong Kong","121","5","146.00","9.35","0.27"
"Unknown","Unknown","Nigeria","37","1","145.00","8.22","0.08"
"Unknown","Unknown","Russia","143","3","143.00","3.85","0.13"
"Unknown","Unknown",NULL,"153","3","143.00","3.10","0.08"
"Unknown","Unknown","Ecuador","17","1","141.00","8.29","0.06"
"google","organic","Brazil","312","3","141.00","3.65","0.04"
"Unknown","Unknown","Ireland","128","3","140.00","8.93","0.07"
"shop.googlemerchandisestore.com","referral","Thailand","35","2","139.00","3.97","0.06"
"Unknown","Unknown","Sri Lanka","42","2","132.00","4.10","0.12"
"google","organic","Kazakhstan","25","1","131.00","8.84","0.08"
"shop.googlemerchandisestore.com","referral",NULL,"73","3","127.00","6.18","0.15"
"google","organic","Morocco","46","1","120.00","10.43","0.09"
"shop.googlemerchandisestore.com","referral","Russia","54","1","119.00","3.67","0.07"
"shop.googlemerchandisestore.com","referral","Malta","3","1","117.00","39.00","0.33"
"google","cpc","Brazil","44","1","116.00","3.30","0.07"
"Unknown","Unknown","Peru","111","2","111.00","9.45","0.25"
"shop.googlemerchandisestore.com","referral","Poland","68","1","111.00","0.15","0.03"
"shop.googlemerchandisestore.com","referral","Romania","19","2","111.00","9.84","0.16"
"shop.googlemerchandisestore.com","referral","South Korea","103","3","109.00","4.20","0.11"
"Direct","Unknown","Philippines","109","1","106.00","5.80","0.10"
"Unknown","referral","South Korea","137","2","102.00","4.88","0.07"
"Direct","Unknown","Australia","197","1","102.00","1.41","0.03"
"Unknown","Unknown","Argentina","57","1","99.00","1.74","0.02"
"Direct","Unknown","Macao","4","1","98.00","49.00","1.00"
"google","cpc","Germany","69","2","98.00","1.42","0.04"
"shop.googlemerchandisestore.com","referral","Israel","49","2","95.00","5.49","0.10"
"Unknown","Unknown","Philippines","95","1","92.00","5.85","0.07"
"shop.googlemerchandisestore.com","referral","Indonesia","93","1","92.00","4.45","0.08"
"Unknown","Unknown","Morocco","41","1","92.00","5.17","0.05"
"shop.googlemerchandisestore.com","referral","Colombia","38","2","91.00","9.82","0.18"
"Unknown","Unknown","Kazakhstan","12","1","90.00","7.50","0.08"
"Unknown","Unknown","Pakistan","81","1","89.00","2.95","0.02"
"shop.googlemerchandisestore.com","referral","Portugal","37","1","89.00","4.81","0.05"
"shop.googlemerchandisestore.com","referral","Nigeria","18","1","89.00","20.78","0.22"
"google","cpc","Singapore","42","1","87.00","2.07","0.02"
"Unknown","Unknown","Switzerland","110","2","87.00","2.66","0.06"
"Unknown","referral","Germany","205","3","86.00","3.29","0.04"
"Unknown","referral","Ireland","46","2","84.00","1.83","0.04"
"Unknown","Unknown","Guatemala","9","1","84.00","18.67","0.22"
"shop.googlemerchandisestore.com","referral","Slovenia","7","1","82.00","11.71","0.14"
"Direct","Unknown","Tunisia","14","1","80.00","5.71","0.07"
"Direct","Unknown","Switzerland","140","1","77.00","2.74","0.06"
"Unknown","Unknown","Romania","53","1","76.00","1.43","0.04"
"Unknown","referral","Ecuador","9","1","72.00","8.00","0.11"
"google","organic","Kenya","20","2","72.00","3.60","0.10"
"Direct","Unknown",NULL,"190","2","72.00","1.82","0.05"
"google","organic","Costa Rica","14","1","71.00","5.07","0.07"
"Unknown","Unknown","Czechia","55","1","71.00","2.58","0.04"
"Unknown","organic","Nigeria","4","1","71.00","17.75","0.25"
"Direct","Unknown","Nigeria","37","1","70.00","13.65","0.11"
"Unknown","referral","Peru","53","1","68.00","2.38","0.04"
"Unknown","referral","China","180","2","68.00","4.43","0.03"
"Unknown","referral","Colombia","50","2","66.00","1.32","0.04"
"google","organic","Indonesia","267","2","66.00","0.73","0.02"
"Unknown","referral","Greece","33","1","66.00","11.09","0.12"
"google","organic","Denmark","118","1","65.00","1.86","0.03"
"google","organic","Austria","92","2","64.00","6.54","0.07"
"shop.googlemerchandisestore.com","referral","France","167","1","64.00","2.44","0.07"
"Unknown","Unknown","Palestine","13","1","63.00","14.54","0.23"
"Direct","Unknown","Czechia","73","2","62.00","3.26","0.07"
"Unknown","Unknown","Australia","223","1","61.00","3.42","0.05"
"Direct","Unknown","Belgium","112","2","61.00","2.48","0.04"
"Unknown","Unknown","Georgia","9","1","60.00","6.67","0.33"
"Direct","Unknown","Austria","55","3","59.00","6.11","0.20"
"google","organic","Portugal","134","2","58.00","1.66","0.04"
"Direct","Unknown","Mongolia","11","1","55.00","5.00","0.09"
"Unknown","referral","Chile","26","2","54.00","2.08","0.12"
"Unknown","referral","Poland","89","1","53.00","1.56","0.04"
"Unknown","referral","Costa Rica","5","1","52.00","10.40","0.40"
"google","organic","Philippines","157","2","50.00","3.32","0.05"
"google","cpc","Vietnam","25","1","50.00","5.12","0.16"
"google","cpc","Australia","42","2","48.00","9.14","0.10"
"Unknown","organic","United Kingdom","102","1","48.00","7.26","0.04"
"shop.googlemerchandisestore.com","referral","Belgium","40","1","48.00","1.85","0.13"
"shop.googlemerchandisestore.com","referral","North Macedonia","4","1","46.00","11.50","0.25"
"shop.googlemerchandisestore.com","referral","Peru","41","1","46.00","12.54","0.37"
"Unknown","Unknown","Bangladesh","43","1","46.00","4.09","0.09"
"Unknown","Unknown","Denmark","57","1","46.00","3.09","0.05"
"Unknown","Unknown","Cambodia","9","1","45.00","5.00","0.11"
"Unknown","referral","Italy","147","1","44.00","2.65","0.02"
"Unknown","Unknown","Slovenia","16","1","44.00","2.75","0.06"
"Direct","Unknown","Algeria","10","1","42.00","4.20","0.20"
"google","cpc","Netherlands","51","2","42.00","1.76","0.06"
"Direct","Unknown","Argentina","66","1","39.00","0.59","0.02"
"Unknown","referral","Bangladesh","18","1","38.00","2.11","0.06"
"Direct","Unknown","Ireland","143","2","36.00","4.87","0.03"
"Direct","Unknown","Denmark","57","1","34.00","5.70","0.05"
"Unknown","organic","Taiwan","46","1","32.00","5.63","0.15"
"Unknown","referral","Egypt","21","1","32.00","1.52","0.05"
"Unknown","organic","Mexico","24","1","32.00","2.33","0.08"
"shop.googlemerchandisestore.com","referral","Sweden","55","1","30.00","1.09","0.05"
"google","cpc","South Korea","47","1","30.00","0.64","0.02"
"Direct","Unknown","Costa Rica","13","1","30.00","2.31","0.08"
"Unknown","Unknown","Brazil","236","1","28.00","4.81","0.04"
"Unknown","referral","Turkey","123","1","27.00","16.45","0.33"
"Direct","Unknown","Finland","37","1","26.00","15.16","0.08"
"google","cpc","Bulgaria","5","1","26.00","5.20","0.40"
"google","cpc","Spain","68","1","24.00","1.26","0.06"
"Unknown","Unknown","Lebanon","7","1","23.00","3.29","0.14"
"Direct","Unknown","Israel","100","1","23.00","3.36","0.07"
"Unknown","organic","Russia","19","1","22.00","7.42","0.11"
"shop.googlemerchandisestore.com","referral","Georgia","3","1","21.00","7.00","0.33"
"Unknown","Unknown","Latvia","10","1","20.00","4.00","0.20"
"google","cpc","China","86","1","19.00","1.24","0.02"
"google","organic","Ukraine","105","1","19.00","4.70","0.02"
"Unknown","Unknown","Puerto Rico","14","1","18.00","1.29","0.07"
"Unknown","Unknown","Uruguay","12","1","16.00","1.33","0.08"
"Unknown","referral",NULL,"98","1","16.00","0.49","0.02"
"Unknown","Unknown","Austria","57","1","14.00","2.95","0.05"
"Direct","Unknown","Saudi Arabia","57","1","12.00","4.61","0.07"
"google","cpc","France","100","1","6.00","0.87","0.02"
"shop.googlemerchandisestore.com","referral","Macao","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Mongolia","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Morocco","16","0","0.00","7.50","0.06"
"shop.googlemerchandisestore.com","referral","Myanmar (Burma)","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Nepal","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","New Zealand","12","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Norway","15","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Oman","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Pakistan","41","0","0.00","5.51","0.10"
"shop.googlemerchandisestore.com","referral","Palestine","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Panama","4","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Paraguay","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Puerto Rico","11","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Qatar","8","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Serbia","7","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","South Africa","8","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Sri Lanka","17","1","0.00","5.41","0.18"
"shop.googlemerchandisestore.com","referral","Switzerland","61","0","0.00","5.52","0.15"
"shop.googlemerchandisestore.com","referral","Trinidad & Tobago","4","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Tunisia","6","0","0.00","13.33","0.17"
"shop.googlemerchandisestore.com","referral","Turkey","91","0","0.00","11.51","0.18"
"shop.googlemerchandisestore.com","referral","Ukraine","26","0","0.00","18.96","0.08"
"shop.googlemerchandisestore.com","referral","United Arab Emirates","34","0","0.00","1.12","0.03"
"shop.googlemerchandisestore.com","referral","Uruguay","6","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Venezuela","1","0","0.00","0.00","0.00"
"Unknown","organic","Albania","1","0","0.00","0.00","0.00"
"Unknown","organic","Algeria","1","0","0.00","0.00","0.00"
"Unknown","organic","Argentina","10","0","0.00","0.00","0.00"
"Unknown","organic","Australia","25","0","0.00","1.76","0.04"
"Unknown","organic","Austria","4","0","0.00","0.00","0.00"
"Unknown","organic","Bangladesh","4","0","0.00","0.00","0.00"
"Unknown","organic","Belarus","1","0","0.00","0.00","0.00"
"Unknown","organic","Belgium","14","0","0.00","0.00","0.00"
"Unknown","organic","Bolivia","1","0","0.00","0.00","0.00"
"Unknown","organic","Brazil","21","0","0.00","16.86","0.10"
"Unknown","organic","Bulgaria","3","0","0.00","0.00","0.00"
"Unknown","organic","Cambodia","1","0","0.00","0.00","0.00"
"Unknown","organic","Chile","5","0","0.00","0.00","0.00"
"Unknown","organic","China","28","0","0.00","1.21","0.04"
"Unknown","organic","Colombia","16","0","0.00","0.00","0.00"
"Unknown","organic","Croatia","4","0","0.00","0.00","0.00"
"Unknown","organic","Cyprus","2","0","0.00","0.00","0.00"
"Unknown","organic","Czechia","4","0","0.00","0.00","0.00"
"Unknown","organic","Denmark","7","0","0.00","0.00","0.00"
"Unknown","organic","Dominican Republic","2","0","0.00","0.00","0.00"
"Unknown","organic","Ecuador","1","0","0.00","0.00","0.00"
"Unknown","organic","Egypt","6","0","0.00","0.00","0.00"
"Unknown","organic","El Salvador","2","0","0.00","0.00","0.00"
"Unknown","organic","Estonia","3","0","0.00","0.00","0.00"
"Unknown","organic","Finland","6","0","0.00","0.00","0.00"
"Unknown","organic","France","56","0","0.00","3.80","0.09"
"Unknown","organic","Georgia","1","0","0.00","0.00","0.00"
"Unknown","organic","Germany","42","0","0.00","0.00","0.00"
"Unknown","organic","Ghana","1","0","0.00","0.00","0.00"
"Direct","Unknown","Albania","4","0","0.00","0.00","0.00"
"Unknown","organic","Honduras","1","0","0.00","0.00","0.00"
"Unknown","organic","Hong Kong","21","0","0.00","0.00","0.00"
"Unknown","organic","Hungary","8","0","0.00","0.00","0.00"
"Unknown","organic","Indonesia","15","0","0.00","0.00","0.00"
"Unknown","organic","Iraq","2","0","0.00","0.00","0.00"
"Unknown","organic","Ireland","21","0","0.00","0.86","0.05"
"Unknown","organic","Israel","13","0","0.00","9.85","0.08"
"Unknown","organic","Italy","37","0","0.00","2.16","0.03"
"Unknown","organic","Jamaica","1","0","0.00","0.00","0.00"
"Unknown","organic","Jordan","3","0","0.00","0.00","0.00"
"Unknown","organic","Kazakhstan","1","0","0.00","0.00","0.00"
"Unknown","organic","Kuwait","2","0","0.00","0.00","0.00"
"Unknown","organic","Latvia","1","0","0.00","0.00","0.00"
"Unknown","organic","Lebanon","2","0","0.00","87.50","0.50"
"Unknown","organic","Lithuania","4","0","0.00","0.00","0.00"
"Unknown","organic","Luxembourg","1","0","0.00","0.00","0.00"
"Unknown","organic","Malaysia","19","0","0.00","0.00","0.00"
"Unknown","organic","Morocco","3","0","0.00","0.00","0.00"
"Unknown","organic","Netherlands","29","0","0.00","0.00","0.00"
"Unknown","organic","New Zealand","5","0","0.00","0.00","0.00"
"Unknown","organic","North Macedonia","1","0","0.00","0.00","0.00"
"Unknown","organic","Norway","4","0","0.00","0.00","0.00"
"Unknown","organic","Pakistan","19","0","0.00","20.47","0.16"
"Unknown","organic","Palestine","1","0","0.00","0.00","0.00"
"Unknown","organic","Peru","9","0","0.00","0.00","0.00"
"Unknown","organic","Philippines","13","0","0.00","0.00","0.00"
"Unknown","organic","Poland","22","0","0.00","0.00","0.00"
"Unknown","organic","Portugal","14","0","0.00","0.00","0.00"
"Unknown","organic","Puerto Rico","4","0","0.00","0.00","0.00"
"Unknown","organic","Qatar","1","0","0.00","0.00","0.00"
"Unknown","organic","Romania","6","0","0.00","0.00","0.00"
"Unknown","organic","Saudi Arabia","3","0","0.00","0.00","0.00"
"Unknown","organic","Serbia","2","0","0.00","0.00","0.00"
"Unknown","organic","Singapore","37","0","0.00","0.00","0.00"
"Unknown","organic","Slovakia","4","0","0.00","0.00","0.00"
"Unknown","organic","Slovenia","1","0","0.00","44.00","1.00"
"Unknown","organic","South Africa","7","0","0.00","0.00","0.00"
"Unknown","organic","South Korea","35","0","0.00","0.00","0.00"
"Unknown","organic","Spain","52","0","0.00","3.85","0.04"
"Unknown","organic","Sri Lanka","4","0","0.00","0.00","0.00"
"Unknown","organic","Sweden","14","0","0.00","0.00","0.07"
"Unknown","organic","Switzerland","14","0","0.00","0.00","0.00"
"Unknown","organic","Thailand","18","0","0.00","4.22","0.11"
"Unknown","organic","Trinidad & Tobago","1","0","0.00","0.00","0.00"
"Unknown","organic","Ukraine","7","0","0.00","0.00","0.00"
"Unknown","organic","United Arab Emirates","6","0","0.00","0.00","0.00"
"Unknown","organic","Uruguay","3","0","0.00","0.00","0.00"
"Unknown","organic","Venezuela","1","0","0.00","0.00","0.00"
"Unknown","organic","Vietnam","6","0","0.00","0.00","0.00"
"Unknown","organic",NULL,"22","0","0.00","0.00","0.00"
"Unknown","referral","Albania","4","0","0.00","0.00","0.00"
"Unknown","referral","Algeria","6","0","0.00","0.00","0.00"
"Unknown","referral","Argentina","27","0","0.00","0.00","0.00"
"Unknown","referral","Armenia","1","0","0.00","0.00","0.00"
"Unknown","referral","Austria","32","0","0.00","6.00","0.03"
"Unknown","referral","Azerbaijan","4","0","0.00","0.00","0.00"
"Unknown","referral","Bahamas","1","0","0.00","0.00","0.00"
"Unknown","referral","Bahrain","2","0","0.00","0.00","0.00"
"Unknown","referral","Belarus","7","0","0.00","0.00","0.00"
"Unknown","referral","Belgium","40","0","0.00","1.58","0.05"
"Unknown","referral","Bolivia","3","0","0.00","0.00","0.00"
"Unknown","referral","Bulgaria","16","0","0.00","0.00","0.00"
"Unknown","referral","Cambodia","6","0","0.00","7.50","0.17"
"Unknown","referral","Croatia","17","0","0.00","0.00","0.00"
"Unknown","referral","Cyprus","2","0","0.00","0.00","0.00"
"Unknown","referral","Czechia","23","0","0.00","0.00","0.00"
"Unknown","referral","Denmark","28","0","0.00","0.00","0.00"
"Unknown","referral","Dominican Republic","3","0","0.00","0.00","0.00"
"Unknown","referral","El Salvador","3","0","0.00","0.00","0.00"
"Unknown","referral","Estonia","4","0","0.00","0.00","0.00"
"Unknown","referral","Finland","13","0","0.00","80.31","0.15"
"Unknown","referral","Georgia","6","0","0.00","0.00","0.00"
"Unknown","referral","Ghana","1","0","0.00","0.00","0.00"
"Unknown","referral","Guatemala","3","0","0.00","0.00","0.00"
"Unknown","referral","Honduras","2","0","0.00","0.00","0.00"
"Unknown","referral","Hong Kong","56","0","0.00","2.05","0.02"
"Unknown","referral","Hungary","18","0","0.00","0.00","0.00"
"Unknown","referral","Iceland","3","0","0.00","0.00","0.00"
"Unknown","referral","Indonesia","99","0","0.00","0.00","0.01"
"Unknown","referral","Iraq","7","0","0.00","0.00","0.00"
"Unknown","referral","Israel","52","0","0.00","4.92","0.04"
"Unknown","referral","Jamaica","3","0","0.00","0.00","0.00"
"Unknown","referral","Jordan","8","0","0.00","0.00","0.00"
"Unknown","referral","Kazakhstan","4","0","0.00","0.00","0.00"
"Unknown","referral","Kenya","5","0","0.00","0.00","0.00"
"Unknown","referral","Kuwait","5","0","0.00","0.00","0.00"
"Unknown","referral","Latvia","5","0","0.00","0.00","0.00"
"Unknown","referral","Lebanon","1","0","0.00","0.00","0.00"
"Unknown","referral","Lithuania","13","0","0.00","0.00","0.00"
"Unknown","referral","Luxembourg","4","0","0.00","0.00","0.00"
"Unknown","referral","Macao","1","0","0.00","98.00","2.00"
"Unknown","referral","Malaysia","58","0","0.00","0.00","0.00"
"Unknown","referral","Malta","3","0","0.00","0.00","0.00"
"Unknown","referral","Mexico","71","1","0.00","0.00","0.01"
"Unknown","referral","Mongolia","2","0","0.00","0.00","0.00"
"Unknown","referral","Morocco","16","0","0.00","13.25","0.13"
"Unknown","referral","Myanmar (Burma)","3","0","0.00","0.00","0.00"
"Unknown","referral","Nepal","2","0","0.00","0.00","0.00"
"Unknown","referral","Netherlands","113","0","0.00","2.19","0.05"
"Unknown","referral","New Zealand","7","0","0.00","0.00","0.00"
"Unknown","referral","Nigeria","17","0","0.00","23.00","0.18"
"Unknown","referral","North Macedonia","8","0","0.00","0.00","0.00"
"Unknown","referral","Norway","12","0","0.00","0.00","0.00"
"Unknown","referral","Oman","2","0","0.00","0.00","0.00"
"Unknown","referral","Palestine","6","0","0.00","0.00","0.00"
"Unknown","referral","Panama","2","0","0.00","0.00","0.00"
"Unknown","referral","Paraguay","3","0","0.00","0.00","0.00"
"Unknown","referral","Philippines","52","0","0.00","1.77","0.04"
"Unknown","referral","Portugal","41","0","0.00","0.00","0.00"
"Unknown","referral","Puerto Rico","4","0","0.00","0.00","0.00"
"Unknown","referral","Qatar","4","0","0.00","0.00","0.00"
"Unknown","referral","Romania","24","0","0.00","4.63","0.04"
"Unknown","referral","Saudi Arabia","12","0","0.00","4.50","0.08"
"Unknown","referral","Serbia","9","0","0.00","0.00","0.00"
"Unknown","referral","Slovakia","9","0","0.00","0.00","0.00"
"Unknown","referral","Slovenia","5","0","0.00","0.00","0.00"
"Unknown","referral","South Africa","23","0","0.00","0.00","0.00"
"Unknown","referral","Sri Lanka","18","0","0.00","5.11","0.11"
"Unknown","referral","Sweden","61","0","0.00","0.62","0.02"
"Unknown","referral","Switzerland","46","0","0.00","0.70","0.02"
