"session_id","customer_id","traffic_sk","device_category","is_session_start","is_view_item","is_add_to_cart","is_begin_checkout","is_purchase","session_revenue"
"3629542","34315769.5418643169","3e06a0960cfed1f07820cc9c7ffb3166","tablet",1,0,0,0,0,"0"
"3681594","44658397.0512648151","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"3850720","6943927.5008311815","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"3986503","5365237.7166274063","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"4045534","8804293.3083997685","74ec940a339ccaac6f472c882d98e696","mobile",1,1,0,0,0,"0"
"4060453","71946607.8895493284","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"4094141","68782325.3571390595","b5abf8bccbd611e523d598fae754a8fb","mobile",1,1,0,0,0,"0"
"4403627","6583934.6398022061","74ec940a339ccaac6f472c882d98e696","mobile",1,0,0,0,0,"0"
"4646049","90840499.7278556017","b5abf8bccbd611e523d598fae754a8fb","desktop",1,1,0,0,0,"0"
"4740450","25929682.6230436211","96d1d5d0a804399e02964794c3b02e4c","mobile",1,0,0,0,0,"0"
"4748625","7782987.2202660950","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"4821454","62589405.6884835711","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"4869423","2911815.9692677992","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,0,0,0,0,"0"
"4916566","8365290.5845148720","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,0,0,0,0,"0"
"4987698","2815883.1890026845","9c16665f6ecf6f3aed7e9e5ae9cf0155","mobile",1,0,0,0,0,"0"
"5004477","1792074.3628981691","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"5158738","89468637.6616840505","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,0,0,0,0,"0"
"5367241","4875510.5105413679","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"5531722","4913046.2582061723","4b34860d080534568e329f52c0f1867e","mobile",1,0,0,0,0,"0"
"5631832","36595726.9719697762","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"5895418","3595484.1794269788","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"6101565","18095562.7179299160","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"6165165","53769433.1315120028","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"6224174","4937263.3292786487","74ec940a339ccaac6f472c882d98e696","mobile",1,1,0,0,0,"0"
"6266908","52588935.2033840889","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"6371282","11579142.3162796607","b5abf8bccbd611e523d598fae754a8fb","tablet",1,0,0,0,0,"0"
"6458156","24524364.1326643374","b5abf8bccbd611e523d598fae754a8fb","desktop",1,1,0,0,0,"0"
"6528880","84919997.6507639927","b5abf8bccbd611e523d598fae754a8fb","desktop",1,1,0,0,0,"0"
"6568842","3012527.5841555273","4b34860d080534568e329f52c0f1867e","desktop",1,0,0,0,0,"0"
"6612904","3790478.8293242967","74ec940a339ccaac6f472c882d98e696","desktop",1,1,0,0,0,"0"
"6616372","3459125.5507126642","74ec940a339ccaac6f472c882d98e696","desktop",1,0,0,0,0,"0"
"6705150","50369748.8363307618","74ec940a339ccaac6f472c882d98e696","mobile",1,0,0,0,0,"0"
"6776871","47654363.8767707392","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"6822652","81025846.6302284338","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"7066905","16948942.5922975368","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"7137343","13072394.0835249988","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,1,0,1,1,"58"
"7392361","66845701.7638179328","74ec940a339ccaac6f472c882d98e696","desktop",1,1,0,0,0,"0"
"7447295","3947270583.9687609231","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"7488106","1045890.7647466940","74ec940a339ccaac6f472c882d98e696","mobile",1,1,0,0,0,"0"
"7541329","4294637.7637600151","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,1,0,0,0,"0"
"7644368","4575148.3287767997","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"7654999","7563008.1684236749","96d1d5d0a804399e02964794c3b02e4c","desktop",1,0,0,0,0,"0"
"7774564","17252253.5201638868","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,1,0,1,0,"0"
"7985263","5737788.8898929877","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"8050760","34792775.6278725875","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"8378126","30383316.7286206871","74ec940a339ccaac6f472c882d98e696","tablet",1,0,0,0,0,"0"
"8645385","7551752.8790415957","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"8729891","8200676.0319550870","74ec940a339ccaac6f472c882d98e696","desktop",1,0,0,0,0,"0"
"8751673","3164822.5740121810","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,1,0,0,0,"0"
"8936645","52710280.0556022948","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,1,0,0,0,"0"
"8987698","2449295.5618689671","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"9053828","45541495.8983183942","74ec940a339ccaac6f472c882d98e696","desktop",1,0,0,0,0,"0"
"9085681","8569269.0019007225","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"9158217","7239675.2175656054","74ec940a339ccaac6f472c882d98e696","mobile",1,0,0,0,0,"0"
"9209118","5640919.6132370648","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,1,0,0,0,"0"
"9235748","58214730.6509825644","3e06a0960cfed1f07820cc9c7ffb3166","desktop",1,0,0,0,0,"0"
"9266835","30644081.9375975835","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"9373763","3721592.8186303575","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"9380169","4572457.2578370051","4b34860d080534568e329f52c0f1867e","desktop",1,0,0,0,0,"0"
"9689499","57835536.7773961463","b5abf8bccbd611e523d598fae754a8fb","mobile",1,1,0,0,0,"0"
"9806161","24857517.9113666562","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"9909747","6813638.9332050712","b5abf8bccbd611e523d598fae754a8fb","tablet",1,0,0,0,0,"0"
"9995068","80425047.9138529852","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"10022175","65149907.4184033715","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"10089047","8133977.3541414019","74ec940a339ccaac6f472c882d98e696","desktop",1,1,0,0,0,"0"
"10199951","1406057.9323625783","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"10269991","66143471.4977437744","96d1d5d0a804399e02964794c3b02e4c","mobile",1,0,0,0,0,"0"
"10379842","79845741.3618469516","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"10426010","7135303.9179455072","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
